PROBLEM,DIMENSION,derivative_type,start.pt ID,k_exp,fd_strategy,grad.norm,iters/max,success,rate(exp),time(s)
31,2,Exact,0,N/A,N/A,6.17e-11,6/1000,yes,2.02,0.01
31,2,Exact,1,N/A,N/A,9.55e-09,7/1000,yes,2.00,0.01
31,2,Exact,2,N/A,N/A,2.17e-07,7/1000,yes,2.26,0.01
31,2,Exact,3,N/A,N/A,1.62e-12,4/1000,yes,1.58,0.01
31,2,Exact,4,N/A,N/A,8.96e-09,7/1000,yes,2.00,0.01
31,2,Exact,5,N/A,N/A,4.41e-12,7/1000,yes,2.02,0.01
,,,"Avg (successes)",,,,3.93e-08,6.3/1000,,1.98,0.01
,,,,,,,,,,
31,2,FD,0,12,component-wise,1.94e-09,6/1000,yes,2.00,0.00
31,2,FD,1,12,component-wise,4.55e-08,7/1000,yes,2.00,0.00
31,2,FD,2,12,component-wise,1.44e-07,7/1000,yes,2.26,0.00
31,2,FD,3,12,component-wise,9.11e-07,5/1000,yes,1.06,0.00
31,2,FD,4,12,component-wise,3.55e-08,7/1000,yes,2.00,0.00
31,2,FD,5,12,component-wise,5.15e-10,7/1000,yes,2.02,0.00
,,,"Avg (successes)",,,,1.90e-07,6.5/1000,,1.89,0.00
,,,,,,,,,,
31,2,FD,0,12,constant,1.53e-09,6/1000,yes,2.02,0.00
31,2,FD,1,12,constant,4.40e-09,7/1000,yes,2.00,0.00
31,2,FD,2,12,constant,2.13e-07,7/1000,yes,2.26,0.00
31,2,FD,3,12,constant,7.02e-09,4/1000,yes,1.58,0.00
31,2,FD,4,12,constant,1.87e-08,7/1000,yes,2.00,0.00
31,2,FD,5,12,constant,3.80e-10,7/1000,yes,2.02,0.00
,,,"Avg (successes)",,,,4.09e-08,6.3/1000,,1.98,0.00
,,,,,,,,,,
31,2,FD,0,4,component-wise,6.17e-11,6/1000,yes,2.02,0.10
31,2,FD,1,4,component-wise,9.55e-09,7/1000,yes,2.00,0.10
31,2,FD,2,4,component-wise,2.17e-07,7/1000,yes,2.26,0.10
31,2,FD,3,4,component-wise,1.62e-12,4/1000,yes,1.58,0.10
31,2,FD,4,4,component-wise,8.97e-09,7/1000,yes,2.00,0.10
31,2,FD,5,4,component-wise,4.42e-12,7/1000,yes,2.02,0.10
,,,"Avg (successes)",,,,3.93e-08,6.3/1000,,1.98,0.10
,,,,,,,,,,
31,2,FD,0,4,constant,6.18e-11,6/1000,yes,2.02,0.00
31,2,FD,1,4,constant,9.56e-09,7/1000,yes,2.00,0.00
31,2,FD,2,4,constant,2.18e-07,7/1000,yes,2.26,0.00
31,2,FD,3,4,constant,1.15e-12,4/1000,yes,1.59,0.00
31,2,FD,4,4,constant,8.97e-09,7/1000,yes,2.00,0.00
31,2,FD,5,4,constant,4.45e-12,7/1000,yes,2.02,0.00
,,,"Avg (successes)",,,,3.93e-08,6.3/1000,,1.98,0.00
,,,,,,,,,,
31,2,FD,0,8,component-wise,6.18e-11,6/1000,yes,2.02,0.07
31,2,FD,1,8,component-wise,9.55e-09,7/1000,yes,2.00,0.10
31,2,FD,2,8,component-wise,2.17e-07,7/1000,yes,2.26,0.00
31,2,FD,3,8,component-wise,2.98e-12,4/1000,yes,1.58,0.00
31,2,FD,4,8,component-wise,8.97e-09,7/1000,yes,2.00,0.00
31,2,FD,5,8,component-wise,4.39e-12,7/1000,yes,2.02,0.00
,,,"Avg (successes)",,,,3.93e-08,6.3/1000,,1.98,0.03
,,,,,,,,,,
31,2,FD,0,8,constant,6.17e-11,6/1000,yes,2.02,0.00
31,2,FD,1,8,constant,9.55e-09,7/1000,yes,2.00,0.00
31,2,FD,2,8,constant,2.17e-07,7/1000,yes,2.26,0.00
31,2,FD,3,8,constant,1.76e-12,4/1000,yes,1.58,0.00
31,2,FD,4,8,constant,8.96e-09,7/1000,yes,2.00,0.00
31,2,FD,5,8,constant,4.37e-12,7/1000,yes,2.02,0.00
,,,"Avg (successes)",,,,3.93e-08,6.3/1000,,1.98,0.00
,,,,,,,,,,
31,2,FD_all,0,12,component-wise,9.69e-10,6/1000,yes,2.01,0.00
31,2,FD_all,1,12,component-wise,2.82e-08,7/1000,yes,2.00,0.00
31,2,FD_all,2,12,component-wise,3.40e-07,7/1000,yes,2.26,0.00
31,2,FD_all,3,12,component-wise,5.07e-08,5/1000,yes,0.08,0.00
31,2,FD_all,4,12,component-wise,2.74e-08,7/1000,yes,2.00,0.00
31,2,FD_all,5,12,component-wise,4.12e-10,7/1000,yes,2.03,0.00
,,,"Avg (successes)",,,,7.46e-08,6.5/1000,,1.73,0.00
,,,,,,,,,,
31,2,FD_all,0,12,constant,1.26e-09,6/1000,yes,2.01,0.00
31,2,FD_all,1,12,constant,2.39e-08,7/1000,yes,2.00,0.00
31,2,FD_all,2,12,constant,2.67e-07,7/1000,yes,2.26,0.00
31,2,FD_all,3,12,constant,2.24e-10,6/1000,yes,1.15,0.00
31,2,FD_all,4,12,constant,1.52e-08,7/1000,yes,2.00,0.00
31,2,FD_all,5,12,constant,1.56e-10,7/1000,yes,2.02,0.00
,,,"Avg (successes)",,,,5.13e-08,6.7/1000,,1.91,0.00
,,,,,,,,,,
31,2,FD_all,0,4,component-wise,2.01e-10,6/1000,yes,2.01,0.03
31,2,FD_all,1,4,component-wise,1.13e-08,7/1000,yes,2.00,0.03
31,2,FD_all,2,4,component-wise,2.27e-07,7/1000,yes,2.26,0.03
31,2,FD_all,3,4,component-wise,2.07e-10,4/1000,yes,1.59,0.03
31,2,FD_all,4,4,component-wise,1.06e-08,7/1000,yes,2.00,0.03
31,2,FD_all,5,4,component-wise,4.56e-11,7/1000,yes,2.02,0.03
,,,"Avg (successes)",,,,4.15e-08,6.3/1000,,1.98,0.03
,,,,,,,,,,
31,2,FD_all,0,4,constant,9.04e-10,6/1000,yes,2.01,0.00
31,2,FD_all,1,4,constant,2.00e-08,7/1000,yes,2.00,0.00
31,2,FD_all,2,4,constant,2.67e-07,7/1000,yes,2.26,0.00
31,2,FD_all,3,4,constant,3.56e-07,4/1000,yes,1.58,0.00
31,2,FD_all,4,4,constant,1.90e-08,7/1000,yes,2.00,0.00
31,2,FD_all,5,4,constant,2.34e-10,7/1000,yes,2.02,0.00
,,,"Avg (successes)",,,,1.11e-07,6.3/1000,,1.98,0.00
,,,,,,,,,,
31,2,FD_all,0,8,component-wise,6.16e-11,6/1000,yes,2.02,0.03
31,2,FD_all,1,8,component-wise,9.56e-09,7/1000,yes,2.00,0.03
31,2,FD_all,2,8,component-wise,2.18e-07,7/1000,yes,2.26,0.00
31,2,FD_all,3,8,component-wise,2.32e-08,5/1000,yes,0.51,0.00
31,2,FD_all,4,8,component-wise,8.96e-09,7/1000,yes,2.00,0.00
31,2,FD_all,5,8,component-wise,4.43e-12,7/1000,yes,2.02,0.00
,,,"Avg (successes)",,,,4.32e-08,6.5/1000,,1.80,0.01
,,,,,,,,,,
31,2,FD_all,0,8,constant,6.17e-11,6/1000,yes,2.02,0.00
31,2,FD_all,1,8,constant,9.55e-09,7/1000,yes,2.00,0.01
31,2,FD_all,2,8,constant,2.18e-07,7/1000,yes,2.26,0.00
31,2,FD_all,3,8,constant,1.40e-12,4/1000,yes,1.58,0.00
31,2,FD_all,4,8,constant,8.97e-09,7/1000,yes,2.00,0.00
31,2,FD_all,5,8,constant,4.44e-12,7/1000,yes,2.02,0.00
,,,"Avg (successes)",,,,3.93e-08,6.3/1000,,1.98,0.00
,,,,,,,,,,
31,1000,Exact,0,N/A,N/A,1.61e-07,11/1000,yes,2.28,0.01
31,1000,Exact,1,N/A,N/A,2.39e-09,14/1000,yes,1.60,0.01
31,1000,Exact,2,N/A,N/A,3.41e-07,13/1000,yes,1.16,0.01
31,1000,Exact,3,N/A,N/A,3.81e-07,12/1000,yes,1.39,0.00
31,1000,Exact,4,N/A,N/A,8.52e-08,14/1000,yes,1.40,0.01
31,1000,Exact,5,N/A,N/A,1.22e-09,15/1000,yes,1.58,0.01
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.01
,,,,,,,,,,
31,1000,FD,0,12,component-wise,1.61e-07,11/1000,yes,2.27,0.01
31,1000,FD,1,12,component-wise,2.40e-09,14/1000,yes,1.60,0.01
31,1000,FD,2,12,component-wise,3.41e-07,13/1000,yes,1.16,0.01
31,1000,FD,3,12,component-wise,3.81e-07,12/1000,yes,1.39,0.01
31,1000,FD,4,12,component-wise,8.53e-08,14/1000,yes,1.40,0.02
31,1000,FD,5,12,component-wise,1.22e-09,15/1000,yes,1.58,0.01
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.01
,,,,,,,,,,
31,1000,FD,0,12,constant,1.60e-07,11/1000,yes,2.28,0.01
31,1000,FD,1,12,constant,2.40e-09,14/1000,yes,1.59,0.01
31,1000,FD,2,12,constant,3.42e-07,13/1000,yes,1.16,0.01
31,1000,FD,3,12,constant,3.81e-07,12/1000,yes,1.39,0.01
31,1000,FD,4,12,constant,8.54e-08,14/1000,yes,1.40,0.01
31,1000,FD,5,12,constant,1.23e-09,15/1000,yes,1.58,0.01
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.01
,,,,,,,,,,
31,1000,FD,0,4,component-wise,1.61e-07,11/1000,yes,2.28,0.01
31,1000,FD,1,4,component-wise,2.39e-09,14/1000,yes,1.60,0.01
31,1000,FD,2,4,component-wise,3.41e-07,13/1000,yes,1.16,0.01
31,1000,FD,3,4,component-wise,3.81e-07,12/1000,yes,1.39,0.01
31,1000,FD,4,4,component-wise,8.52e-08,14/1000,yes,1.40,0.01
31,1000,FD,5,4,component-wise,1.22e-09,15/1000,yes,1.58,0.01
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.01
,,,,,,,,,,
31,1000,FD,0,4,constant,1.61e-07,11/1000,yes,2.28,0.01
31,1000,FD,1,4,constant,2.39e-09,14/1000,yes,1.60,0.01
31,1000,FD,2,4,constant,3.41e-07,13/1000,yes,1.16,0.01
31,1000,FD,3,4,constant,3.81e-07,12/1000,yes,1.39,0.01
31,1000,FD,4,4,constant,8.52e-08,14/1000,yes,1.40,0.01
31,1000,FD,5,4,constant,1.22e-09,15/1000,yes,1.58,0.01
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.01
,,,,,,,,,,
31,1000,FD,0,8,component-wise,1.61e-07,11/1000,yes,2.28,0.01
31,1000,FD,1,8,component-wise,2.39e-09,14/1000,yes,1.60,0.02
31,1000,FD,2,8,component-wise,3.41e-07,13/1000,yes,1.16,0.01
31,1000,FD,3,8,component-wise,3.81e-07,12/1000,yes,1.39,0.01
31,1000,FD,4,8,component-wise,8.52e-08,14/1000,yes,1.40,0.01
31,1000,FD,5,8,component-wise,1.22e-09,15/1000,yes,1.58,0.01
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.01
,,,,,,,,,,
31,1000,FD,0,8,constant,1.61e-07,11/1000,yes,2.28,0.01
31,1000,FD,1,8,constant,2.39e-09,14/1000,yes,1.60,0.01
31,1000,FD,2,8,constant,3.41e-07,13/1000,yes,1.16,0.01
31,1000,FD,3,8,constant,3.81e-07,12/1000,yes,1.39,0.01
31,1000,FD,4,8,constant,8.52e-08,14/1000,yes,1.40,0.01
31,1000,FD,5,8,constant,1.22e-09,15/1000,yes,1.58,0.01
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.01
,,,,,,,,,,
31,1000,FD_all,0,12,component-wise,1.61e-07,11/1000,yes,2.28,0.48
31,1000,FD_all,1,12,component-wise,2.39e-09,14/1000,yes,1.60,0.60
31,1000,FD_all,2,12,component-wise,3.42e-07,13/1000,yes,1.16,0.55
31,1000,FD_all,3,12,component-wise,3.80e-07,12/1000,yes,1.40,0.49
31,1000,FD_all,4,12,component-wise,8.55e-08,14/1000,yes,1.40,0.48
31,1000,FD_all,5,12,component-wise,1.23e-09,15/1000,yes,1.58,0.68
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.55
,,,,,,,,,,
31,1000,FD_all,0,12,constant,1.61e-07,11/1000,yes,2.27,0.51
31,1000,FD_all,1,12,constant,2.39e-09,14/1000,yes,1.60,0.62
31,1000,FD_all,2,12,constant,3.42e-07,13/1000,yes,1.16,0.58
31,1000,FD_all,3,12,constant,3.81e-07,12/1000,yes,1.39,0.52
31,1000,FD_all,4,12,constant,8.52e-08,14/1000,yes,1.40,0.60
31,1000,FD_all,5,12,constant,1.23e-09,15/1000,yes,1.58,0.64
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.58
,,,,,,,,,,
31,1000,FD_all,0,4,component-wise,1.61e-07,11/1000,yes,2.28,0.47
31,1000,FD_all,1,4,component-wise,2.39e-09,14/1000,yes,1.60,0.62
31,1000,FD_all,2,4,component-wise,3.41e-07,13/1000,yes,1.16,0.59
31,1000,FD_all,3,4,component-wise,3.81e-07,12/1000,yes,1.39,0.51
31,1000,FD_all,4,4,component-wise,8.52e-08,14/1000,yes,1.40,0.60
31,1000,FD_all,5,4,component-wise,1.22e-09,15/1000,yes,1.58,0.66
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.58
,,,,,,,,,,
31,1000,FD_all,0,4,constant,1.61e-07,11/1000,yes,2.27,0.46
31,1000,FD_all,1,4,constant,2.39e-09,14/1000,yes,1.59,0.60
31,1000,FD_all,2,4,constant,3.41e-07,13/1000,yes,1.16,0.57
31,1000,FD_all,3,4,constant,3.81e-07,12/1000,yes,1.39,0.53
31,1000,FD_all,4,4,constant,8.51e-08,14/1000,yes,1.40,0.61
31,1000,FD_all,5,4,constant,1.22e-09,15/1000,yes,1.58,0.65
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.57
,,,,,,,,,,
31,1000,FD_all,0,8,component-wise,1.61e-07,11/1000,yes,2.28,0.46
31,1000,FD_all,1,8,component-wise,2.39e-09,14/1000,yes,1.60,0.49
31,1000,FD_all,2,8,component-wise,3.41e-07,13/1000,yes,1.16,0.55
31,1000,FD_all,3,8,component-wise,3.81e-07,12/1000,yes,1.39,0.49
31,1000,FD_all,4,8,component-wise,8.52e-08,14/1000,yes,1.40,0.61
31,1000,FD_all,5,8,component-wise,1.22e-09,15/1000,yes,1.58,0.66
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.54
,,,,,,,,,,
31,1000,FD_all,0,8,constant,1.61e-07,11/1000,yes,2.28,0.47
31,1000,FD_all,1,8,constant,2.39e-09,14/1000,yes,1.60,0.57
31,1000,FD_all,2,8,constant,3.41e-07,13/1000,yes,1.16,0.54
31,1000,FD_all,3,8,constant,3.81e-07,12/1000,yes,1.39,0.50
31,1000,FD_all,4,8,constant,8.52e-08,14/1000,yes,1.40,0.60
31,1000,FD_all,5,8,constant,1.22e-09,15/1000,yes,1.58,0.65
,,,"Avg (successes)",,,,1.62e-07,13.2/1000,,1.57,0.56
,,,,,,,,,,
31,10000,Exact,0,N/A,N/A,1.65e-08,12/1000,yes,0.86,0.03
31,10000,Exact,1,N/A,N/A,1.41e-07,14/1000,yes,1.18,0.03
31,10000,Exact,2,N/A,N/A,1.70e-07,14/1000,yes,1.16,0.03
31,10000,Exact,3,N/A,N/A,1.47e-07,14/1000,yes,1.09,0.03
